=== Segment 1 Start: 14:02:23 | End: 14:02:45 ===
Time (s),x,y
31.41,499,256
31.47,499,283
31.81,472,283
31.87,445,283
31.94,418,283
32.01,391,283
32.07,364,283
32.14,337,283
32.2,310,283
32.27,283,283
32.6,283,310
32.66,283,337
32.73,283,364
32.8,283,391
33.26,310,391
33.33,337,391
33.39,364,391
33.46,391,391
33.52,418,391
33.59,445,391
33.66,472,391
33.72,499,391
34.05,499,364
34.12,499,337
34.38,526,337
34.45,553,337
34.78,553,364
34.85,553,391
35.24,580,391
35.31,607,391
35.37,634,391
35.44,661,391
35.51,688,391
35.57,715,391
35.64,742,391
35.71,769,391
36.04,769,364
36.11,769,337
36.17,769,310
36.24,769,283

