=== Segment 1 Start: 16:24:17 | End: 16:24:35 ===
Time (s),x,y
1.05,14,98
1.12,14,126
1.18,14,154
1.25,14,182
1.32,14,210
1.38,14,238
1.51,42,238
1.58,70,238
1.65,98,238
1.71,126,238
1.84,126,266
1.91,126,294
2.11,154,294
2.18,182,294
2.37,182,266
2.44,182,238
2.51,182,210
2.57,182,182
2.77,210,182
2.84,238,182
2.91,266,182
2.97,294,182
3.23,294,210
3.3,294,238
3.7,294,266
3.76,294,294
4.36,266,294
4.42,238,294
4.63,238,322
4.76,210,350
4.95,182,350
5.02,154,350
5.09,126,350
5.15,98,350
5.22,70,350
5.42,70,378
6.01,70,406
6.08,70,434
6.14,70,462
6.41,98,462
6.47,126,462
6.67,126,490
6.74,126,518
7.07,154,518
7.14,182,518
7.86,182,490
7.93,182,462
8.13,210,462
8.19,238,462
8.46,238,434
8.52,238,406
8.79,266,406
8.85,294,406
8.92,322,406
8.99,350,406
9.18,350,434
9.25,350,462
9.38,322,462
9.45,294,462
9.71,294,490
9.78,294,518
10.04,322,518
10.11,350,518
10.18,378,518
10.25,406,518
10.51,406,490
10.57,406,462
10.64,406,434
10.71,406,406
10.84,434,406
10.91,462,406
11.17,462,378
11.23,462,350
11.37,434,350
11.43,406,350
11.7,406,322
11.76,406,294
12.03,434,294
12.1,462,294
12.16,490,294
12.23,518,294
12.43,518,322
12.49,518,350
12.76,546,350
12.82,574,350
13.02,574,378
13.09,574,406
13.42,546,406
13.48,518,406
13.81,518,434
13.88,518,462
14.08,546,462
14.14,574,462
14.21,602,462
14.34,630,462
14.48,630,490
14.54,630,518
14.74,658,518
14.81,686,518
15.0,686,490
15.07,686,462
15.33,714,462
15.4,742,434
15.53,742,406
15.6,742,378
15.66,742,350
15.86,714,350
15.94,686,350
16.12,686,322
16.19,686,294
16.39,658,294
16.45,630,294
16.65,630,266
16.72,630,238
16.79,630,210
16.85,630,182
17.05,658,182
17.12,686,182
17.18,714,182
17.25,742,182
17.45,742,154
17.51,714,126
