=== Segment 1 Start: 15:09:08 | End: 15:09:24 ===
Time (s),x,y
15.8,255,345
15.87,255,315
16.27,225,315
16.47,195,315
16.73,195,285
16.99,195,255
17.06,195,225
17.32,195,195
17.59,195,165
17.92,195,135
18.18,225,135

=== Segment 6 Start: 15:10:39 | End: 15:10:57 ===
Time (s),x,y
0.07,39,13
0.73,65,13
1.52,65,39
1.59,65,65
2.31,91,65
2.38,117,65
2.64,117,91
3.04,117,117
3.11,117,143
3.24,117,169
3.9,91,169
4.1,65,169
4.56,65,195
4.76,91,221
5.22,117,221
5.29,143,221
5.43,169,221
5.68,169,195
5.89,169,169
5.95,169,143
6.15,169,117
6.41,195,117
6.48,221,117
7.01,247,117
7.21,273,143
7.93,273,169
8.13,273,195
8.26,273,221
8.33,273,247
8.46,273,273
8.72,299,273
8.79,325,273
8.99,351,273
9.12,377,273
9.45,377,247
9.52,377,221
9.98,377,195
10.05,377,169
10.51,403,169
10.58,429,169
10.91,429,143
11.1,429,117
11.37,455,117
12.23,481,117
12.49,481,91
12.56,481,65
12.76,507,65
12.82,533,65
13.16,533,39
13.22,533,13
13.75,507,13
13.82,481,13
13.89,455,13
14.09,429,13
14.29,429,39
14.35,429,65
14.75,403,65
14.81,377,65
15.47,377,91
15.54,351,117
15.93,325,117
16.39,325,91
16.46,325,65
16.72,299,65
16.79,273,65
17.12,273,39
17.45,273,13
17.78,299,13
18.11,325,13
18.44,351,13

