=== Segment 1 Start: 15:28:05 | End: 15:28:32 ===
Time (s),x,y
1.98,740,220
2.05,740,180
2.11,740,140
2.18,740,100
2.24,740,60
2.31,740,20
2.71,700,20
2.77,660,20
2.84,620,20
2.91,580,20
3.11,580,60
3.17,580,100
3.44,540,100
3.5,500,100
3.57,460,100
3.64,420,100
4.56,460,100
5.16,500,100
5.22,540,100
6.54,500,100
6.61,460,100
7.53,500,100
7.6,540,100
8.59,500,100
8.66,460,100
8.72,420,100
8.99,460,100
9.05,500,100
9.12,540,100
10.38,500,100
10.44,460,100
10.91,500,100
10.97,540,100
11.44,500,100
11.7,500,140
11.76,500,180
11.9,500,220
11.96,500,260
12.23,540,260
12.29,580,260
12.62,580,300
12.69,580,340
12.95,540,340
13.02,500,340
13.28,500,380
13.35,500,420
13.68,460,420

=== Segment 10 Start: 15:29:51 | End: 15:30:04 ===
Time (s),x,y
0.07,420,420
2.71,460,420
2.77,500,420
3.3,500,380
3.37,500,340
3.83,540,340
3.9,580,340
4.23,580,300
4.29,580,260
4.63,540,260
4.69,500,260
5.02,500,220
5.09,500,180
5.15,500,140
5.22,500,100
5.42,540,100
5.49,580,100
5.88,580,60
5.94,580,20
6.27,620,20
6.34,660,20
6.41,700,20
6.47,740,20
6.8,740,60
6.87,740,100
6.93,740,140
7.0,740,180
7.07,740,220
7.13,740,260
7.2,740,300
7.27,740,340
7.33,740,380
7.4,740,420
7.47,740,460
7.53,740,500
7.6,700,500
7.67,660,500
8.0,660,540
8.06,660,580
8.33,620,580
8.39,580,580
8.46,540,580
8.52,500,580
8.79,500,540
8.86,500,500
9.12,460,500
9.19,420,500
9.85,420,540
9.91,420,580
10.24,380,580
10.31,340,580
10.37,300,580
10.44,260,580
10.51,220,580
10.57,180,580
10.84,180,540
10.9,180,500
11.17,140,500
11.23,100,500
11.5,100,460
11.57,100,420
11.63,100,380
11.7,100,340
11.96,60,340
12.03,20,340
13.22,20,380
13.29,20,420
13.35,20,460
13.41,20,500
13.48,20,540

