=== Segment 1 Start: 18:28:07 | End: 18:28:22 ===
Time (s),x,y
21.16,500,420
21.36,460,420
21.42,420,420
21.49,380,420
21.56,340,420
21.76,340,460
21.82,340,500
22.02,300,500

=== Segment 7 Start: 18:29:07 | End: 18:29:10 ===
Time (s),x,y
0.07,260,500
0.53,300,500
0.59,340,500
0.99,340,460
1.06,340,420
1.32,380,420
1.39,420,420
1.45,460,420
1.52,500,420
2.05,500,380
2.11,500,340
2.38,540,340
2.44,580,340
2.71,580,300
2.77,580,260
3.37,540,260
3.44,500,260

=== Segment 8 Start: 18:29:10 | End: 18:29:12 ===
Time (s),x,y
0.59,540,260
0.66,580,260
0.86,580,300
0.93,580,340
1.13,540,340
1.19,500,340
1.46,500,380
1.52,500,420
1.78,460,420
1.85,420,420
1.92,380,420
1.98,340,420
2.25,340,460
2.31,340,500

=== Segment 9 Start: 18:29:12 | End: 18:29:17 ===
Time (s),x,y
0.46,340,460
0.53,340,420
0.73,380,420
0.79,420,420
0.86,460,420
0.93,500,420
1.19,500,380
1.26,500,340
1.45,540,340
1.52,580,340
1.98,580,300
2.05,580,260
2.51,540,260
2.84,500,260
3.24,500,220
3.3,500,180
3.57,540,180
3.63,580,180
3.7,620,180
3.77,660,180
4.03,660,140
4.49,660,100
4.56,660,60

=== Segment 10 Start: 18:29:17 | End: 18:29:22 ===
Time (s),x,y
0.07,660,20
0.53,700,20
0.6,740,20
1.72,740,60
1.79,740,100
1.85,740,140
1.92,740,180
1.99,740,220
2.05,700,260
2.12,660,300
2.38,660,340
2.65,700,340
2.71,740,340
3.05,740,380
3.11,740,420
3.31,700,420
3.38,660,420
3.44,620,420
3.51,580,420
3.77,580,460
3.84,580,500
3.9,580,540
3.97,580,580
4.17,540,580
4.23,500,580
4.3,460,580
4.37,420,580
4.43,380,580
4.5,340,580
4.57,300,580
4.63,260,580
4.7,220,580
4.77,180,580
4.97,180,540
5.03,180,500
5.1,180,460
5.16,180,420
5.36,140,420

=== Segment 11 Start: 18:29:22 | End: 18:29:26 ===
Time (s),x,y
0.07,100,420
0.13,60,420
0.2,20,420
0.59,60,420
0.66,100,420
0.73,140,420
0.79,180,420
1.06,180,460
1.12,180,500
1.19,180,540
1.26,180,580
1.78,220,580
1.85,260,580
1.92,300,580
1.99,340,580
2.05,380,580
2.11,420,580
2.18,460,580
2.25,500,580
2.31,540,580
2.38,580,580
2.44,620,580
2.51,660,580
3.7,660,540
3.77,660,500
4.03,700,500

=== Segment 12 Start: 18:29:26 | End: 18:29:33 ===
Time (s),x,y
0.07,740,500
0.46,700,500
0.53,660,500
0.73,660,540
0.79,660,580
0.99,620,580
1.06,580,580
1.65,580,540
1.72,580,500
1.79,580,460
1.85,580,420
2.84,620,420
2.91,660,420
2.98,700,420
3.04,740,420
3.44,700,420
3.51,660,420
3.57,620,420
3.9,660,420
3.97,700,420
4.03,740,420
4.36,740,380
4.43,740,340
4.76,700,340
4.83,660,340
5.09,660,300
5.16,700,260
5.22,740,220
5.75,740,180
5.82,740,140
5.89,740,100
5.95,740,60
6.02,740,20
6.28,700,20
6.35,660,20
6.42,620,20
6.48,580,20
6.55,540,20
6.61,500,20
6.88,500,60
6.94,500,100
7.14,540,100

=== Segment 13 Start: 18:29:33 | End: 18:29:39 ===
Time (s),x,y
0.07,580,100
0.26,540,100
0.33,500,100
0.59,500,60
0.66,500,20
0.99,540,20
1.06,580,20
1.12,620,20
1.19,660,20
1.25,700,20
1.32,740,20
1.72,740,60
1.78,740,100
1.85,740,140
1.91,740,180
1.98,740,220
2.05,700,260
2.11,660,300
2.38,660,340
2.64,700,340
2.71,740,340
2.97,740,380
3.04,740,420
3.24,700,420
3.31,660,420
3.37,620,420
3.44,580,420
3.63,580,460
3.7,580,500
3.77,580,540
3.83,580,580
4.1,540,580
4.16,500,580
4.23,460,580
4.3,420,580
4.36,380,580
4.43,340,580
4.5,300,580
4.56,260,580
4.63,220,580
4.69,180,580
4.89,180,540
5.16,180,500
5.22,180,460
5.29,180,420
5.49,140,420
5.55,100,420
5.62,60,420

=== Segment 14 Start: 18:29:39 | End: 18:29:53 ===
Time (s),x,y
0.07,20,420
0.26,60,420
0.33,100,420
0.4,140,420
0.46,180,420
0.79,180,460
0.86,180,500
0.93,180,540
0.99,180,580
1.32,220,580
1.39,260,580
1.45,300,580
1.52,340,580
1.59,380,580
1.65,420,580
1.72,460,580
2.51,500,580
2.58,540,580
2.64,580,580
2.71,620,580
2.77,660,540
2.84,700,500
3.17,660,540
3.24,620,580
3.3,580,580
3.77,580,540
3.83,580,500
3.9,580,460
3.96,580,420
4.23,620,420
4.3,660,420
4.36,700,420
4.43,740,420
4.63,740,380
4.7,740,340
4.96,700,340
5.03,660,340
5.22,660,300
5.29,660,260
5.49,700,260
5.55,740,260
6.22,740,220
6.28,740,180
6.35,740,140
6.41,740,100
6.48,740,60
6.55,740,20
6.75,740,60
6.81,740,100
6.88,740,140
7.34,740,100
7.4,740,60
7.47,740,20
7.8,700,20
7.87,660,20
8.2,660,60
8.26,660,100
8.33,660,140
8.4,660,180
8.6,620,180
8.66,580,180
8.73,540,180
8.79,500,180
8.99,500,220
9.06,540,260
9.12,580,300
9.45,580,340
9.59,540,340
9.65,500,340
9.98,500,380
10.05,500,420
10.31,460,420
10.38,420,420
10.45,380,420
10.51,340,420
10.71,340,460
10.78,340,500
10.98,300,500
11.04,260,500
11.5,260,460
11.57,260,420
11.63,260,380
11.7,260,340
11.77,260,300
11.83,260,260
11.9,260,220
11.97,260,180
12.16,300,180
12.23,340,180
12.3,380,180
12.36,420,180
12.82,420,140
12.89,420,100
12.96,420,60
13.02,420,20
13.22,380,20
13.29,340,20
13.69,300,20
13.75,260,20

