=== Segment 1 Start: 14:30:57 | End: 14:31:02 ===
Time (s),x,y
2.46,39,13
2.99,65,39
3.05,91,65
3.12,117,91
4.11,117,117
4.18,117,143
4.24,117,169
4.31,117,195
4.37,117,221
4.84,143,221
4.9,169,221

=== Segment 2 Start: 14:31:02 | End: 14:31:04 ===
Time (s),x,y
0.06,195,221
1.12,221,221
1.19,247,221
1.25,273,221
1.85,273,195
1.91,273,169

=== Segment 3 Start: 14:31:04 | End: 14:31:05 ===
Time (s),x,y
0.07,273,143
0.13,273,117
0.79,273,91
0.86,273,65
1.45,299,65
1.52,325,65

=== Segment 4 Start: 14:31:05 | End: 14:31:25 ===
Time (s),x,y
0.07,351,65
0.13,377,65
0.6,403,65
0.66,429,65
0.73,455,65
0.79,481,65
4.82,481,91
4.89,481,117
5.49,455,117
5.55,429,117
6.08,429,143
6.15,429,169
6.21,429,195
6.28,429,221
6.34,429,247
6.41,429,273
6.87,455,273
6.94,481,273
7.47,481,247
7.53,481,221
7.6,481,195
7.67,481,169
8.2,507,169
8.26,533,169
8.33,559,169
8.4,585,169
8.99,585,143
9.06,585,117
9.65,611,117
9.72,637,117
10.25,637,143
10.31,637,169
10.78,663,169
10.84,689,169
11.3,689,143
11.37,689,117
11.9,715,117
11.97,741,117
12.43,741,143
12.49,741,169
12.56,741,195
12.63,741,221
12.69,741,247
12.76,741,273
13.22,715,273
13.29,689,273
13.62,689,299
13.68,689,325
14.34,663,325
14.41,637,325
14.87,637,299
14.94,637,273
15.0,637,247
15.07,637,221
15.4,611,221
15.47,585,221
15.53,559,221
15.6,533,221
16.26,533,247
16.33,533,273
17.12,559,273
17.19,585,273
17.98,585,299
18.05,585,325
18.97,559,325
19.04,533,325
19.63,533,351
19.7,533,377
19.77,533,403
19.83,533,429
19.9,533,455

=== Segment 5 Start: 14:31:25 | End: 14:31:35 ===
Time (s),x,y
0.07,533,481
1.12,533,455
1.19,533,429
1.25,533,403
1.32,533,377
1.39,533,351
1.45,533,325
2.05,559,325
2.11,585,325
2.77,585,299
2.84,585,273
3.37,559,273
3.43,533,273
3.96,533,247
4.03,533,221
4.56,559,221
4.62,585,221
4.69,611,221
4.76,637,221
5.35,637,247
5.42,637,273
5.48,637,299
5.55,637,325
5.95,663,325
6.01,689,325
6.94,689,299
7.0,689,273
7.53,715,273
7.6,741,273
9.19,741,247
9.26,741,221
9.32,741,195
9.39,741,169
9.46,741,143
9.52,741,117
9.98,715,117
10.05,689,117
10.52,689,143

=== Segment 6 Start: 14:31:35 | End: 14:31:44 ===
Time (s),x,y
0.07,689,169
1.91,663,169
1.98,637,169
2.52,637,143
2.58,637,117
3.04,611,117
3.11,585,117
3.57,585,143
3.64,585,169
4.03,559,169
4.1,533,169
4.16,507,169
4.23,481,169
4.69,481,195
4.76,481,221
4.82,481,247
4.89,481,273
5.35,455,273
5.42,429,273
5.95,429,247
6.01,429,221
6.08,429,195
6.14,429,169
6.21,429,143
6.28,429,117
6.81,455,117
6.87,481,117
8.13,481,91
8.2,481,65
8.72,455,65
8.79,429,65
8.85,403,65

=== Segment 7 Start: 14:31:44 | End: 14:31:46 ===
Time (s),x,y
0.07,377,65
0.86,403,65
0.93,429,65
0.99,455,65
1.06,481,65
1.59,481,91
1.65,481,117

=== Segment 8 Start: 14:31:46 | End: 14:32:17 ===
Time (s),x,y
5.43,455,117
5.49,429,117
6.02,429,143
6.09,429,169
6.15,429,195
6.22,429,221
6.28,429,247
6.35,429,273
6.88,455,273
6.94,481,273
7.47,481,247
8.13,481,221
8.2,481,195
8.26,481,169
8.93,507,169
8.99,533,169
9.06,559,169
9.13,585,169
10.05,585,143
10.12,585,117
10.58,611,117
10.64,637,117
11.24,637,143
11.31,637,169
11.83,663,169
11.9,689,169
12.89,689,143
12.96,689,117
13.62,715,117
13.68,741,117
14.41,741,143
14.48,741,169
14.54,741,195
14.61,741,221
14.67,741,247
14.74,741,273
15.34,715,273
15.4,689,273
15.93,689,299
16.0,689,325
16.46,663,325
16.53,637,325
17.05,637,299
17.12,637,273
17.19,637,247
17.25,637,221
17.78,611,221
17.85,585,221
17.91,559,221
17.98,533,221
18.51,533,247
18.58,533,273
19.04,559,273
19.11,585,273
19.7,585,299
19.76,585,325
20.29,559,325
20.36,533,325
20.89,533,351
20.95,533,377
21.02,533,403
21.09,533,429
21.16,533,455
21.22,533,481
22.27,507,481
22.34,481,481
22.41,455,481
22.47,429,481
22.54,403,481
22.6,377,481
22.67,351,481
22.74,325,481
22.81,299,481
22.87,273,481
22.93,247,481
23.0,221,481
23.6,221,455
23.66,221,429
23.73,221,403
23.8,221,377
23.86,221,351
23.93,221,325
23.99,221,299
24.06,221,273
24.65,195,273
24.72,169,273
25.18,169,299
25.25,169,325
25.71,143,325
25.78,117,325
25.84,91,325
25.91,65,325
26.44,65,351
26.51,65,377
26.57,65,403
26.64,65,429
27.37,91,429
27.43,117,429
28.03,117,455
28.1,117,481
28.69,91,481
28.75,65,481
28.82,39,481
28.89,13,481
29.42,13,455
29.48,13,429
29.55,13,403
29.62,13,377
29.68,13,351
29.75,13,325
29.81,13,299
29.88,13,273
29.95,13,247
30.02,13,221
30.54,39,221
30.61,65,221

=== Segment 9 Start: 14:32:17 | End: 14:32:56 ===
Time (s),x,y
1.85,39,221
1.92,13,221
2.91,13,247
2.97,13,273
3.04,13,299
3.11,13,325
3.17,13,351
3.24,13,377
3.3,13,403
3.37,13,429
3.44,13,455
3.5,13,481
5.49,39,481
5.55,65,481
5.62,91,481
5.69,117,481
6.21,117,455
6.28,117,429
6.81,91,429
6.88,65,429
7.48,65,403
7.54,65,377
7.61,65,351
7.67,65,325
8.27,91,325
8.33,117,325
8.4,143,325
8.47,169,325
9.86,169,299
9.93,169,273
15.61,195,273
16.07,221,273
16.14,247,273
17.0,221,273
17.53,221,299
17.6,221,325
17.66,221,351
17.73,221,377
17.8,221,403
17.86,221,429
17.93,221,455
17.99,221,481
18.59,247,481
18.65,273,481
18.72,299,481
18.79,325,481
18.85,351,481
18.92,377,481
18.99,403,481
19.05,429,481
19.12,455,481
19.51,481,481
19.58,507,481
20.11,533,481
20.17,559,481
20.7,533,481
21.3,533,455
21.37,533,429
21.43,533,403
21.5,533,377
21.56,533,351
21.63,533,325
22.16,559,325
22.22,585,325
22.89,585,299
22.95,585,273
23.49,559,273
23.55,533,273
24.01,533,247
24.07,533,221
24.67,559,221
24.73,585,221
25.13,611,221
25.2,637,221
25.73,637,247
25.79,637,273
25.86,637,299
25.92,637,325
26.32,663,325
26.39,689,325
26.85,689,299
26.92,689,273
27.31,715,273
27.38,741,273
28.7,741,247
28.77,741,221
28.84,741,195
28.9,741,169
28.97,741,143
29.04,741,117
29.1,741,91
29.63,741,117
31.82,741,91
31.89,741,65
31.95,741,39
32.01,741,13
32.48,715,13
32.54,689,13
32.94,689,39
33.0,689,65
33.4,663,65
33.47,637,65
33.93,637,39
34.0,637,13
34.46,611,13
34.53,585,13
34.86,585,39
34.92,585,65
35.32,559,65
35.39,533,65
35.79,533,91
35.85,533,117
36.32,533,91
36.38,533,65
36.45,533,39
36.51,533,13
37.04,507,13
37.11,481,13
37.17,455,13
37.24,429,13
37.31,403,13
37.37,377,13
37.44,351,13
37.51,325,13
37.57,299,13
37.64,273,13
37.7,247,13
37.77,221,13
38.23,221,39
38.3,221,65
38.37,221,91
38.43,221,117
38.5,221,143
38.57,221,169
39.03,195,169
39.1,169,169
39.49,169,143

