=== Segment 1 Start: 10:38:08 | End: 10:38:12 ===
Time (s),x,y
30.75,13,117
31.02,39,117
31.08,65,117
31.15,91,117
31.29,117,117
31.68,91,117
32.54,65,117
32.67,65,143
32.73,65,169
33.07,91,169
33.13,117,169
33.73,117,195
33.8,143,221
34.06,169,221
34.4,169,195
34.46,169,169
34.72,195,169
34.79,221,169
35.05,221,143
35.12,221,117

=== Segment 6 Start: 10:39:16 | End: 10:39:47 ===
Time (s),x,y
0.73,221,143
0.79,221,169
0.99,195,169
1.06,169,169
1.39,169,195
1.45,169,221
1.92,169,195
1.98,169,169
4.17,169,195
4.24,169,221
4.43,143,221
4.5,117,221
4.76,117,195
4.83,117,169
5.62,91,169
5.69,65,169
6.02,65,143
6.09,65,117
6.42,39,117
6.48,13,117
6.75,13,143
6.81,13,169
6.88,13,195
6.95,13,221
7.15,39,221
7.21,65,221
7.54,65,247
7.61,65,273
7.87,39,273
7.94,13,273
8.4,13,299
8.47,13,325
8.53,13,351
8.6,13,377
8.67,13,403
8.73,39,429
8.8,65,455
9.19,65,481
9.53,91,481
9.59,117,481
9.85,117,455
9.92,117,429
9.99,117,403
10.05,117,377
10.12,117,351
10.19,117,325
10.25,143,325
10.32,169,325
10.38,195,325
10.45,221,325
10.71,221,299
10.78,221,273
10.85,221,247
10.91,221,221
11.11,247,221
11.18,273,221
11.24,299,221
11.31,325,221
11.51,325,195
11.57,325,169
11.64,325,143
11.7,325,117
11.77,325,91
11.84,325,65
11.9,325,39
11.97,325,13
12.23,351,13
12.3,377,13
12.37,403,13
12.43,429,13
12.5,455,13
12.56,481,13
12.63,507,13
12.7,533,13
12.76,559,13
12.83,585,13
13.09,585,39
13.16,559,65
13.36,533,65
13.43,507,65
13.5,481,65
13.83,481,91
13.89,481,117
14.09,455,117
14.16,429,117
14.49,429,91
14.56,403,65
14.95,377,65
15.15,377,91
15.88,377,117
15.94,377,143
16.01,377,169
16.28,403,169
16.34,429,169
16.67,429,195
16.74,429,221
16.81,429,247
16.87,429,273
17.13,403,273
17.2,377,273
17.27,351,273
17.33,325,273
17.4,299,273
17.47,273,273
17.66,273,299
17.73,273,325
18.0,299,325
18.06,325,325
18.13,351,325
18.2,377,325
18.46,377,351
18.52,377,377
18.79,403,377
18.85,429,377
19.12,429,403
19.18,429,429
