=== Segment 1 Start: 18:07:50 | End: 18:08:12 ===
Time (s),x,y
1.08,20,60
1.14,20,100
1.67,60,100
1.74,100,100
3.79,100,60
3.86,100,20
4.65,140,20
4.72,180,20
4.78,220,20
4.85,260,20
4.91,300,20
4.98,340,20
5.05,380,20
5.11,420,20
5.18,460,20
5.25,500,20
5.31,540,20
5.38,580,20
5.71,580,60
5.84,580,100
6.7,540,100
6.77,500,100
6.84,460,100
6.9,420,100
7.23,420,140
7.3,420,180
7.7,380,180
7.76,340,180
7.96,340,140
8.03,340,100
8.3,300,100
8.36,260,100
8.43,220,100
8.49,180,100
8.82,180,140
8.89,180,180
8.96,180,220
9.02,180,260
9.09,180,300
9.15,180,340
9.42,220,340
9.49,260,340
9.88,260,380
9.95,260,420
10.61,220,420
10.68,180,420
11.14,180,460
11.21,180,500
11.47,140,500
11.54,100,500
11.6,60,500
11.67,20,500
12.2,20,540
12.86,20,580
13.13,60,580
13.19,100,580
13.26,140,580
13.32,180,580
13.39,220,580
13.46,260,580
13.52,300,580
13.59,340,580
13.85,340,540
13.92,340,500
14.71,380,500
14.78,420,500
15.24,420,460
15.31,420,420
15.37,420,380
15.44,420,340
15.5,420,300
15.57,420,260
16.04,460,260
16.1,500,260
17.36,500,300
17.43,500,340
17.76,540,340
17.82,580,340
17.89,620,340
17.96,660,340
18.29,660,380
18.35,660,420
18.55,700,420
18.62,740,420
18.95,740,380
19.02,740,340
19.28,740,300
19.35,740,260
19.75,700,260
19.81,660,260
20.08,660,220
20.14,660,180
20.41,620,180
20.47,580,180
20.54,540,180
20.6,500,180
21.0,540,180
21.07,580,180
21.27,580,220
21.33,580,260

=== Segment 2 Start: 18:08:12 | End: 18:08:28 ===
Time (s),x,y
1.12,580,220
1.19,580,180
1.45,620,180
1.52,660,180
1.59,700,180
1.65,740,180
2.31,700,180
2.64,660,180
2.71,620,180
2.78,580,180
3.11,620,180
3.17,660,180
3.5,660,220
3.57,660,260
3.84,700,260
3.9,740,260
4.43,740,300
4.5,740,340
4.83,740,380
4.89,740,420
4.96,740,460
5.95,740,420
6.02,740,380
6.08,740,340
7.81,740,380
7.87,700,420
8.2,660,420
8.4,660,380
8.47,620,340
8.99,580,340
9.06,540,340
9.13,500,340
9.46,500,300
9.52,500,260
9.79,460,260
9.86,420,260
9.92,380,260
9.99,340,260
10.05,300,260
10.79,340,260
10.85,380,260
10.92,420,260
10.98,460,260
11.45,420,300
12.11,420,340
12.17,420,380
12.24,420,420
12.31,420,460
12.37,420,500
12.9,380,500
12.97,340,500
13.03,300,500
13.69,340,540
14.22,300,580
14.82,260,580
14.89,220,580
14.95,180,580
15.02,140,580
15.08,100,580
15.15,60,580
15.22,20,580
15.75,20,540
15.81,20,500
16.08,60,500
16.14,100,500
16.21,140,500
16.27,180,500

=== Segment 3 Start: 18:08:28 | End: 18:08:40 ===
Time (s),x,y
3.64,180,460
3.71,180,420
4.37,220,420
4.43,260,420
4.83,260,380
4.9,260,340
5.76,220,340
5.83,180,340
6.16,180,300
6.22,180,260
6.29,180,220
6.35,180,180
6.42,180,140
6.49,180,100
6.82,220,100
6.89,260,100
6.95,300,100
7.02,340,100
7.61,340,140
7.68,340,180
8.01,380,180
8.08,420,180
8.34,420,140
8.41,420,100
9.01,460,100
9.07,500,100
9.14,540,100
9.2,580,100
9.6,580,60
9.67,580,20
10.2,540,20
10.26,500,20
10.33,460,20
10.4,420,20
10.46,380,20
10.53,340,20
10.6,300,20
10.66,260,20
10.73,220,20
10.79,180,20
10.86,140,20
10.93,100,20
11.26,100,60
11.32,100,100
11.79,60,100

=== Segment 4 Start: 18:08:40 | End: 18:08:48 ===
Time (s),x,y
0.07,20,100
0.79,60,100
0.86,100,100
1.19,100,60
1.25,100,20
1.65,140,20
1.72,180,20
1.78,220,20
1.85,260,20
1.91,300,20
1.98,340,20
2.05,380,20
2.11,420,20
2.18,460,20
2.24,500,20
2.31,540,20
2.38,580,20
2.71,580,60
2.77,580,100
3.1,540,100
3.17,500,100
3.23,460,100
3.3,420,100
3.83,420,140
3.9,420,180
4.23,380,180
4.29,340,180
4.62,340,140
4.69,340,100
5.02,300,100
5.09,260,100
5.15,220,100
5.22,180,100
5.62,180,140
5.68,180,180
5.75,180,220
5.82,180,260
5.88,180,300
5.95,180,340
6.21,220,340
6.28,260,340
6.55,260,380
6.61,260,420
6.88,220,420
6.94,180,420
7.47,180,460
7.54,180,500
7.87,140,500
7.94,100,500
8.0,60,500

=== Segment 5 Start: 18:08:48 | End: 18:08:50 ===
Time (s),x,y
0.06,20,500
0.93,60,500
0.99,100,500
1.06,140,500
1.13,180,500
1.46,180,460
1.52,180,420
1.79,220,420
1.86,260,420
2.05,260,380
2.12,260,340
2.32,220,340
2.38,180,340
2.65,180,300
2.71,180,260
2.78,180,220
2.85,180,180

=== Segment 6 Start: 18:08:50 | End: 18:08:54 ===
