=== Segment 1 Start: 21:21:12 | End: 21:21:23 ===
Time (s),x,y
1.13,18,55
1.2,18,92
1.46,55,92
1.54,92,92
1.73,92,129
1.79,92,166
1.86,92,203
1.93,92,240
2.06,55,240
2.52,18,240
2.92,18,277
2.98,18,314
3.05,18,351
3.12,18,388
3.38,55,388
3.45,92,388
3.71,92,351
3.78,92,314
4.04,129,314
4.11,166,314
4.18,203,314
4.24,240,314
4.31,277,314
4.37,314,314
4.44,351,314
4.51,388,314
4.71,388,351
4.77,388,388
4.97,425,388
5.04,462,388
5.1,499,388
5.17,536,388
5.43,536,425
5.5,536,462
5.57,536,499
5.63,536,536
5.9,573,536
5.96,610,536
6.03,647,536
6.1,684,536
6.43,684,499
6.49,684,462
6.57,684,425
6.63,684,388
6.69,684,351
6.76,684,314
6.96,721,314
7.02,758,314
7.35,758,277
7.42,758,240
7.48,758,203
7.55,758,166
7.75,721,166
7.81,684,166
8.08,684,203
8.14,684,240
8.34,647,240
8.41,610,240
8.47,573,240
8.54,536,240
8.67,536,277
8.74,536,314
8.94,499,314
9.01,462,314
9.2,462,277
9.27,462,240
9.34,462,203
9.4,462,166
9.67,499,166
9.73,536,166
9.8,573,166
9.86,610,166
10.13,610,129
10.2,610,92
10.46,573,92
10.53,536,92
10.59,499,92
10.66,462,92
10.93,462,55

=== Segment 2 Start: 21:21:23 | End: 21:21:44 ===
Time (s),x,y
2.44,39,13
2.51,65,13
2.71,65,39
2.78,65,65
2.91,39,65
2.97,13,65
3.24,13,91
3.3,13,117
3.38,13,143
3.44,13,169
3.7,39,169
3.77,65,169
4.03,65,195
4.1,65,221
4.76,39,221
4.82,13,221
5.15,13,247
5.22,13,273
5.29,13,299
5.35,13,325
5.42,13,351
5.48,13,377
5.68,39,377
5.75,65,377
5.82,91,377
5.88,117,377
5.95,143,377
6.01,169,377
6.48,169,351
6.54,169,325
6.61,169,299
6.68,169,273
6.74,169,247
6.81,169,221
7.0,143,221
7.07,117,221
7.27,117,195
7.34,117,169
7.4,117,143
7.47,117,117
7.54,143,117
7.6,169,117
7.67,195,117
7.74,221,117
8.0,221,91
8.07,221,65
8.13,221,39
8.2,221,13
8.39,247,13
8.46,273,13
8.72,273,39
8.79,273,65
8.85,273,91
8.92,273,117
8.99,273,143
9.05,273,169
9.12,273,195
9.18,273,221
9.32,299,221
9.38,325,221
9.58,325,195
9.65,325,169
9.71,325,143
9.78,325,117
9.91,351,117
9.98,377,117
10.24,377,91
10.31,377,65
10.37,377,39
10.44,377,13
10.57,403,13
10.64,429,13
10.71,455,13
10.77,481,13
10.84,507,13
10.9,533,13
10.97,559,13
11.04,585,13
11.24,585,39
11.3,559,65
11.37,533,91
11.44,507,117
11.83,481,117
12.03,455,117
12.1,429,117
12.36,429,143
12.43,429,169
12.5,429,195
12.56,429,221
12.63,429,247
12.69,429,273
12.76,429,299
12.82,429,325
13.15,403,325
13.22,377,325
13.48,377,351
13.55,377,377
14.28,403,377
14.34,429,377
14.41,455,377
14.48,481,377
14.54,507,377
14.61,533,377
14.67,559,377
14.74,585,377
15.0,585,351
15.07,559,325
15.2,533,325
15.27,507,325
15.33,481,325
15.53,481,299
15.6,481,273
15.86,507,273
15.93,533,273
16.0,559,273
16.06,585,273
16.13,611,273
16.2,637,273
16.46,637,247
16.53,637,221
16.59,637,195
16.66,637,169
16.92,663,169
16.99,689,169
17.06,715,169
17.12,741,169
17.58,741,143
17.65,741,117
17.72,741,91
