Time,Shape,Color,PressedKey,Result
3.79,square,grey,RIGHT,wrong
6.57,triangle,orange,RIGHT,correct
11.1,square,grey,RIGHT,wrong
12.57,square,red,RIGHT,wrong
14.09,triangle,green,RIGHT,correct
17.37,square,yellow,RIGHT,wrong
18.6,triangle,red,RIGHT,correct
20.06,circle,green,RIGHT,wrong
21.81,circle,grey,LEFT,correct
23.17,circle,grey,LEFT,correct
24.8,square,grey,RIGHT,wrong
26.25,square,grey,RIGHT,wrong
27.81,square,orange,LEFT,wrong
29.3,square,pink,RIGHT,wrong
32.48,square,blue,RIGHT,wrong
35.52,circle,orange,RIGHT,wrong
37.01,circle,pink,LEFT,correct
38.49,triangle,pink,RIGHT,correct
41.53,circle,green,RIGHT,wrong
43.09,square,pink,LEFT,wrong
44.74,square,red,RIGHT,wrong
